player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Amed Rosario,104,1210,8.6,33,32,27,10,5,3,2,0,5,15.2,1,3.0,16,59,.313,.294,.333,.316,.531,.430,.365,.323,1,88.8,90.0,12
Jason Heyward,104,1024,10.2,22,18,18,5,3,0,1,1,1,4.5,1,4.5,8,45,.278,.253,.364,.352,.556,.345,.382,.316,0,90.0,86.2,20
Mauricio Dubón,104,1450,7.2,28,27,22,5,5,0,0,0,5,17.9,1,3.6,21,74,.185,.303,.214,.328,.185,.398,.182,.316,0,89.7,88.4,12
Jake Rogers,104,1258,8.3,26,25,18,4,2,1,0,1,7,26.9,1,3.8,15,48,.160,.206,.192,.236,.320,.394,.221,.269,1,89.3,89.1,12
Kerry Carpenter,103,1131,9.1,28,26,21,9,4,4,1,0,5,17.9,1,3.6,17,58,.346,.353,.370,.377,.577,.493,.401,.377,2,90.2,90.5,17
Jo Adell,103,1840,5.6,29,27,24,10,7,2,0,1,3,10.3,2,6.9,16,62,.370,.246,.414,.298,.556,.406,.418,.306,2,90.0,89.6,23
Jonah Bride,102,1157,8.8,27,20,19,8,6,1,0,1,3,11.1,5,18.5,4,38,.400,.322,.481,.436,.600,.423,.446,.385,0,89.3,86.9,24
Danny Jansen,102,1376,7.4,24,23,19,5,3,1,0,1,4,16.7,1,4.2,11,44,.217,.222,.250,.254,.391,.423,.277,.290,2,90.2,90.2,27
Nolan Gorman,102,1596,6.4,34,31,25,9,5,1,0,3,6,17.6,3,8.8,24,63,.290,.343,.353,.401,.613,.687,.408,.458,5,89.2,89.8,27
Robbie Grossman,102,1031,9.9,22,17,13,6,4,2,0,0,4,18.2,5,22.7,11,42,.353,.277,.500,.441,.471,.369,.431,.370,0,89.1,89.3,19
Kevin Kiermaier,101,1020,9.9,22,20,17,3,0,2,0,1,4,18.2,1,4.5,17,58,.150,.217,.182,.269,.400,.347,.239,.278,0,89.3,88.2,20
Joey Bart,101,1127,9.0,24,23,19,5,3,0,0,2,4,16.7,1,4.2,10,44,.217,.262,.250,.293,.478,.548,.310,.355,2,89.6,90.5,19
Gabriel Moreno,99,1532,6.5,17,14,13,5,3,1,1,0,2,11.8,2,11.8,6,32,.357,.305,.412,.374,.571,.449,.404,.352,1,89.1,88.7,16
Ke'Bryan Hayes,99,1470,6.7,32,30,27,6,6,0,0,0,4,12.5,0,0.0,10,51,.200,.279,.219,.300,.200,.373,.188,.297,0,89.0,86.1,7
Lenyn Sosa,99,1377,7.2,28,28,25,10,7,3,0,0,3,10.7,0,0.0,8,57,.357,.367,.357,.367,.464,.571,.355,.399,3,89.2,90.9,13
Cavan Biggio,98,955,10.3,18,17,12,3,3,0,0,0,5,27.8,0,0.0,5,45,.176,.192,.222,.237,.176,.227,.187,.213,0,89.6,80.8,14
Tyler Nevin,98,1090,9.0,17,15,14,4,4,0,0,0,1,5.9,1,5.9,8,43,.267,.245,.353,.334,.267,.414,.290,.329,2,89.4,85.5,2
J.T. Realmuto,97,1583,6.1,22,20,15,3,2,1,0,0,5,22.7,2,9.1,14,46,.150,.187,.227,.261,.200,.248,.200,.230,0,89.0,85.1,6
Willie Calhoun,95,958,9.9,21,20,19,4,2,2,0,0,1,4.8,1,4.8,2,46,.200,.288,.238,.322,.300,.389,.236,.310,1,90.1,86.1,9
Abraham Toro,95,1394,6.8,24,22,21,5,2,3,0,0,1,4.2,2,8.3,4,46,.227,.281,.292,.341,.364,.373,.288,.316,0,89.5,87.8,13
Taylor Walls,95,1028,9.2,26,22,19,6,5,1,0,0,3,11.5,4,15.4,5,44,.273,.295,.385,.403,.318,.368,.324,.351,0,89.3,84.5,25
Carson Kelly,94,1173,8.0,24,23,19,1,0,1,0,0,5,20.8,0,0.0,12,51,.043,.137,.042,.146,.087,.274,.052,.185,1,90.0,89.9,17
Emmanuel Rivera,93,1151,8.1,24,24,17,5,3,1,1,0,7,29.2,0,0.0,12,46,.208,.231,.208,.231,.333,.332,.229,.241,1,89.1,92.6,11
Tyler Fitzgerald,93,1330,7.0,22,21,17,7,5,1,0,1,4,18.2,1,4.5,13,48,.333,.304,.364,.336,.524,.398,.382,.322,0,87.8,82.9,23
James Wood,93,1404,6.6,25,21,18,7,5,1,0,1,3,12.0,3,12.0,9,37,.333,.274,.440,.391,.524,.451,.420,.371,1,88.5,94.5,6
David Peralta,92,1014,9.1,17,14,13,5,4,0,0,1,1,5.9,3,17.6,6,45,.357,.261,.471,.391,.571,.475,.450,.378,2,90.1,83.8,10
Adam Duvall,92,1252,7.3,20,18,13,4,2,1,0,1,5,25.0,1,5.0,11,46,.222,.118,.300,.206,.444,.312,.324,.231,1,89.5,85.4,35
Elias Díaz,91,1323,6.9,19,18,16,6,5,1,0,0,2,10.5,1,5.3,8,45,.333,.255,.368,.299,.389,.354,.334,.287,0,89.0,87.7,14
Byron Buxton,91,1458,6.2,26,25,18,6,3,1,1,1,7,26.9,1,3.8,16,48,.240,.325,.269,.351,.480,.645,.316,.418,3,89.9,92.6,11
Bo Bichette,90,1186,7.6,22,21,20,5,4,1,0,0,1,4.5,1,4.5,6,55,.238,.339,.273,.369,.286,.445,.249,.352,0,89.5,87.3,8
Nelson Velázquez,89,903,9.9,25,21,16,5,3,0,0,2,5,20.0,4,16.0,21,48,.238,.222,.360,.347,.524,.515,.380,.367,2,88.9,88.8,31
Victor Robles,89,1020,8.7,20,18,17,7,5,2,0,0,1,5.0,1,5.0,12,48,.389,.323,.450,.390,.500,.378,.416,.346,0,88.8,81.6,7
Nick Gordon,89,1008,8.8,24,21,21,6,4,0,0,2,0,0.0,2,8.3,9,53,.286,.222,.375,.319,.571,.287,.405,.280,0,89.8,82.1,14
Miguel Amaya,88,1291,6.8,23,22,20,6,4,1,0,1,2,8.7,1,4.3,10,43,.273,.301,.304,.331,.455,.417,.327,.325,1,89.0,82.8,6
Miguel Vargas,88,1009,8.7,17,13,11,3,3,0,0,0,2,11.8,4,23.5,8,46,.231,.304,.412,.468,.231,.374,.318,.387,0,89.4,81.8,6
DJ LeMahieu,88,845,10.4,25,22,19,3,2,1,0,0,3,12.0,3,12.0,9,39,.136,.301,.240,.385,.182,.484,.203,.377,2,90.3,93.2,1
Willson Contreras,88,1382,6.4,28,26,21,5,4,0,0,1,5,17.9,2,7.1,10,48,.192,.317,.250,.366,.308,.508,.248,.375,2,89.6,95.2,14
Christian Vázquez,87,1141,7.6,22,22,18,4,4,0,0,0,4,18.2,0,0.0,7,46,.182,.270,.182,.270,.182,.389,.160,.282,1,89.7,88.2,13
Rob Refsnyder,86,1202,7.2,22,21,18,7,4,3,0,0,3,13.6,1,4.5,11,44,.333,.285,.364,.317,.476,.458,.363,.331,1,89.9,89.1,14
Nick Fortes,85,1154,7.4,26,26,26,2,1,1,0,0,0,0.0,0,0.0,1,48,.077,.174,.077,.174,.115,.242,.082,.179,0,90.1,83.1,21
Will Brennan,85,1230,6.9,20,17,14,4,3,1,0,0,3,15.0,3,15.0,8,37,.235,.331,.350,.431,.294,.448,.298,.389,1,89.4,84.2,20
Ildemaro Vargas,85,1058,8.0,19,18,17,5,1,3,0,1,1,5.3,1,5.3,4,39,.278,.297,.316,.334,.611,.441,.389,.335,1,90.0,91.5,10
Triston Casas,85,991,8.6,19,17,10,6,5,0,0,1,7,36.8,2,10.5,8,31,.353,.280,.421,.356,.529,.488,.412,.365,1,90.6,95.0,9
Travis d'Arnaud,85,1353,6.3,18,15,13,2,1,0,0,1,2,11.1,2,11.1,14,46,.133,.340,.278,.450,.333,.699,.279,.481,2,88.8,94.8,15
Miguel Rojas,85,1211,7.0,28,26,26,9,4,5,0,0,0,0.0,2,7.1,2,42,.346,.355,.393,.401,.538,.454,.399,.375,0,89.9,83.6,12
Johan Rojas,84,1329,6.3,19,19,14,2,1,1,0,0,5,26.3,0,0.0,15,40,.105,.184,.105,.184,.158,.219,.112,.175,0,88.9,89.9,2
Wilmer Flores,82,964,8.5,20,17,16,3,0,2,0,1,2,10.0,2,10.0,4,38,.176,.180,.250,.274,.471,.386,.297,.299,1,89.0,77.8,17
Kyle Farmer,82,882,9.3,24,23,20,4,3,0,0,1,3,12.5,1,4.2,10,45,.174,.281,.208,.310,.304,.454,.224,.327,1,89.7,88.7,19
Ramón Laureano,81,1180,6.9,21,18,11,6,5,0,0,1,7,33.3,2,9.5,20,49,.333,.335,.429,.430,.500,.542,.407,.419,2,89.0,91.4,8
Thairo Estrada,81,1309,6.2,27,27,25,8,3,3,1,1,2,7.4,0,0.0,6,50,.296,.290,.296,.290,.593,.477,.372,.325,2,87.6,88.8,18
Jacob Stallings,80,1073,7.5,21,20,17,6,4,2,0,0,3,14.3,1,4.8,10,43,.300,.298,.333,.332,.400,.389,.320,.317,0,89.8,81.3,11
Joey Meneses,80,1142,7.0,26,25,18,6,6,0,0,0,7,26.9,1,3.8,11,38,.240,.235,.269,.265,.240,.304,.230,.252,1,90.1,86.0,16
Victor Caratini,80,1039,7.7,20,18,17,10,7,3,0,0,1,5.0,2,10.0,10,41,.556,.409,.600,.468,.722,.502,.566,.423,0,89.7,91.0,6
Luis Campusano,79,1025,7.7,17,15,14,2,1,0,0,1,1,5.9,2,11.8,12,36,.133,.202,.235,.302,.333,.330,.254,.283,1,88.8,90.5,4
Ramón Urías,78,1150,6.8,20,18,17,7,6,0,0,1,1,5.0,2,10.0,8,40,.389,.265,.450,.339,.556,.454,.436,.344,1,90.4,89.5,27
