player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Alek Thomas,56,372,15.1,17,16,16,4,2,1,0,1,0,0.0,1,5.9,4,27,.250,.306,.294,.347,.500,.499,.339,.364,1,89.8,93.8,8
Braden Shewmake,56,214,26.2,19,19,19,2,1,1,0,0,0,0.0,0,0.0,4,33,.105,.242,.105,.242,.158,.316,.112,.241,1,90.0,87.6,8
Drew Millas,55,252,21.8,14,13,10,6,5,0,0,1,3,21.4,1,7.1,5,26,.462,.275,.500,.327,.692,.443,.511,.337,1,90.0,89.3,5
Brandon Crawford,55,321,17.1,18,18,15,5,4,0,0,1,3,16.7,0,0.0,12,34,.278,.284,.278,.284,.444,.429,.310,.307,1,89.8,88.6,14
Ali Sánchez,53,338,15.7,11,9,9,2,0,2,0,0,1,9.1,1,9.1,5,24,.222,.183,.273,.259,.444,.492,.291,.311,1,89.9,89.9,10
Yan Gomes,53,375,14.1,9,7,6,1,1,0,0,0,2,22.2,1,11.1,9,25,.143,.453,.222,.482,.143,.526,.175,.444,0,89.8,90.4,14
Dillon Dingler,53,331,16.0,12,11,7,3,2,0,1,0,4,33.3,1,8.3,10,27,.273,.245,.333,.308,.455,.389,.337,.306,0,89.9,99.4,5
Ryan Kreidler,52,263,19.8,13,11,8,1,1,0,0,0,3,23.1,2,15.4,10,24,.091,.230,.231,.349,.091,.341,.174,.315,1,89.9,94.2,11
Justin Foscue,52,187,27.8,12,11,8,0,0,0,0,0,3,25.0,1,8.3,9,24,.000,.037,.083,.118,.000,.051,.057,.092,0,90.1,86.2,31
Marco Luciano,52,325,16.0,11,11,9,3,2,1,0,0,2,18.2,0,0.0,4,21,.273,.325,.273,.325,.364,.465,.274,.340,0,89.0,89.3,14
Eric Haase,51,270,18.9,12,12,7,1,1,0,0,0,5,41.7,0,0.0,11,27,.083,.185,.083,.185,.083,.211,.073,.173,0,89.6,84.8,11
Jared Walsh,51,262,19.5,12,12,10,5,4,1,0,0,2,16.7,0,0.0,2,18,.417,.437,.417,.437,.500,.790,.398,.521,2,89.7,92.3,23
Aaron Hicks,50,284,17.6,13,12,10,1,1,0,0,0,2,15.4,1,7.7,2,20,.083,.246,.154,.304,.083,.360,.121,.293,1,88.7,89.3,17
Ben Gamel,50,381,13.1,14,11,7,1,1,0,0,0,4,28.6,3,21.4,4,15,.091,.216,.286,.384,.091,.281,.211,.317,0,89.5,89.5,24
Andrew Knizner,50,360,13.9,18,18,17,6,5,1,0,0,1,5.6,0,0.0,8,35,.333,.406,.333,.406,.389,.580,.315,.422,1,88.9,90.9,13
Kyren Paris,47,234,20.1,8,7,6,3,1,1,0,1,1,12.5,1,12.5,3,18,.429,.382,.500,.460,1.000,.937,.609,.565,1,90.1,95.2,18
Omar Narváez,47,269,17.5,11,11,9,2,2,0,0,0,2,18.2,0,0.0,4,27,.182,.163,.182,.163,.182,.249,.160,.177,0,89.1,90.5,17
Bryce Johnson,45,263,17.1,10,8,6,1,1,0,0,0,2,20.0,2,20.0,2,19,.125,.241,.300,.393,.125,.306,.226,.327,0,89.8,91.4,21
Austin Shenton,45,212,21.2,10,7,5,4,0,3,0,1,2,20.0,3,30.0,8,17,.571,.305,.700,.513,1.429,.618,.788,.474,1,89.8,96.9,25
René Pinto,44,185,23.8,10,8,6,2,2,0,0,0,2,20.0,1,10.0,10,23,.250,.313,.400,.451,.250,.483,.317,.413,0,89.6,90.1,33
Jasson Domínguez,44,278,15.8,10,8,4,1,0,0,0,1,4,40.0,2,20.0,6,19,.125,.210,.300,.368,.500,.571,.343,.393,2,89.4,92.8,42
Davis Wendzel,44,170,25.9,9,9,9,3,0,2,0,1,0,0.0,0,0.0,5,23,.333,.330,.333,.330,.889,.881,.507,.502,2,89.5,90.6,24
Zach DeLoach,44,298,14.8,12,10,8,2,1,1,0,0,2,16.7,2,16.7,5,20,.200,.245,.333,.371,.300,.276,.293,.304,0,88.7,86.6,1
Mike Ford,43,229,18.8,12,12,10,2,2,0,0,0,2,16.7,0,0.0,3,23,.167,.108,.167,.108,.167,.120,.147,.100,0,89.3,86.7,14
Cole Tucker,42,237,17.7,7,5,4,0,0,0,0,0,1,14.3,2,28.6,4,18,.000,.180,.286,.414,.000,.206,.197,.314,0,89.3,95.1,-11
Ryan Vilade,41,188,21.8,10,9,8,2,1,0,0,1,1,10.0,1,10.0,2,22,.222,.327,.300,.394,.556,.513,.362,.392,1,88.9,89.0,4
Griffin Conine,41,334,12.3,11,10,8,6,4,0,0,2,2,18.2,0,0.0,3,22,.600,.396,.636,.451,1.200,.779,.759,.515,1,90.1,92.4,11
Pedro León,41,90,45.6,12,11,6,1,1,0,0,0,5,41.7,1,8.3,7,20,.091,.108,.167,.182,.091,.129,.131,.150,0,89.5,94.5,22
Nick Madrigal,41,358,11.5,13,11,10,4,2,2,0,0,1,7.7,1,7.7,3,19,.364,.273,.462,.385,.545,.321,.437,.328,0,89.9,88.4,14
