player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Kody Clemens,59,468,12.6,16,16,15,5,3,1,0,1,1,6.3,0,0.0,5,32,.313,.353,.313,.353,.563,.561,.372,.393,1,92.3,85.5,15
Casey Schmitt,58,374,15.5,23,21,18,8,5,2,0,1,3,13.0,2,8.7,0,26,.381,.321,.435,.380,.619,.531,.450,.392,1,93.6,93.1,17
Weston Wilson,58,379,15.3,18,18,15,7,5,1,0,1,3,16.7,0,0.0,7,30,.389,.350,.389,.350,.611,.612,.428,.406,3,93.4,90.1,-1
Daniel Vogelbach,57,362,15.7,12,11,8,3,1,1,0,1,3,25.0,1,8.3,1,15,.273,.268,.333,.329,.636,.543,.406,.369,1,93.9,92.3,5
Andrew Knizner,57,360,15.8,13,12,10,2,2,0,0,0,2,15.4,0,0.0,7,30,.167,.293,.231,.348,.167,.418,.191,.338,1,92.4,91.9,3
Heston Kjerstad,57,423,13.5,20,17,15,5,5,0,0,0,2,10.0,2,10.0,4,28,.294,.294,.400,.400,.294,.358,.325,.345,0,94.3,88.4,-8
Miles Mastrobuoni,56,381,14.7,16,16,16,3,3,0,0,0,0,0.0,0,0.0,1,22,.188,.267,.188,.267,.188,.344,.165,.265,0,93.6,88.8,2
Pablo Reyes,56,252,22.2,16,15,10,3,3,0,0,0,5,31.3,0,0.0,6,30,.200,.214,.250,.263,.200,.247,.210,.234,0,92.6,94.3,-1
Jose Herrera,55,501,11.0,11,10,5,1,1,0,0,0,5,45.5,1,9.1,2,17,.100,.165,.182,.241,.100,.261,.143,.226,0,93.7,85.5,10
Grant McCray,54,519,10.4,13,12,6,3,3,0,0,0,6,46.2,1,7.7,9,25,.250,.223,.308,.282,.250,.265,.256,.248,0,94.1,95.9,5
